,002230.XSHE,601398.XSHG,601727.XSHG,601958.XSHG,601985.XSHG,600038.XSHG,600489.XSHG,002415.XSHE,601006.XSHG,600362.XSHG,601998.XSHG,601601.XSHG,601988.XSHG,600406.XSHG,601336.XSHG,601318.XSHG,600118.XSHG,601628.XSHG,600498.XSHG,600111.XSHG,601989.XSHG,601288.XSHG,600036.XSHG,601939.XSHG,000792.XSHE,002465.XSHE,002081.XSHE,600522.XSHG,cash
601998.XSHG,-0.0256045342919373,0.0442989375987847,0.0028057929564002,-0.013333939602114799,0.015047453027346102,-0.0171258412558681,0.0021427678074868,-0.009067312715485502,0.0253039065309478,0.00016664285868640003,0.07123052541138689,0.0179579515906033,0.047039319618810395,0.003881265276786101,0.011584906722632397,0.019742985933575596,-0.0177092616528352,0.0189670312141616,-0.0180342393626717,-0.015063026855776797,-0.0020322851174400993,0.04537821189654259,0.038547595681936,0.0389057706134182,-0.018740276018864698,-0.0183456409657537,-0.002307999086531102,-0.011355326103797702,0.0
601601.XSHG,-0.015441627137600299,0.018334945039761897,0.0006235224298477985,-0.0039997523524927005,0.007706289710006095,-0.010402362577837498,-0.0027724799445022013,-0.0023765059384405016,0.014608313127682898,0.0025270198196612995,0.017957951590603295,0.10636881376661159,0.018945312355473195,-0.00024561880557170046,0.022523438388436897,0.027951615319463892,-0.010520824754911099,0.023856133748778395,-0.010664757361112,-0.0058129231391302,0.001765309465738699,0.018696858216934297,0.016346399866285898,0.016070757135542197,-0.0077741656144169995,-0.0132293422904197,0.0023010682203667998,-0.006142507574551899,0.0
601988.XSHG,-0.029087320145685196,0.0484726684208805,0.004238606697082902,-0.0156796002130736,0.0189080953720442,-0.0185649903482253,0.004660727983626799,-0.0092198640845964,0.0297747045478132,-0.0003243799205202998,0.0470393196188104,0.0189453123554732,0.0631827843256203,0.0061523944756475,0.0111693910224369,0.0211107415513544,-0.0193541562937004,0.0213919280763763,-0.0203127261954286,-0.0178014832906894,-0.0019586408813756975,0.04990745461772329,0.042364893948993,0.04190351346923191,-0.022460164449476294,-0.019709448827708198,-0.0033346510124112015,-0.0137141394253072,0.0
600406.XSHG,6.727310014470033e-05,0.004610374294753499,0.005904552371836901,-0.0047410588120639,0.0079027814882122,-0.0014793779705682003,0.003620525313600299,0.006163928721965302,0.008182572734651802,-0.0022532601243302995,0.0038812652767861,-0.00024561880557169916,0.006152394475647501,0.07879837502510921,-0.003118137028703799,0.0002312402175497011,-0.0016933656586253002,0.0020135169064363014,-0.0009198502825705007,-0.0041691146148113995,-0.00022672490686759846,0.005116567532474102,0.005181789908934201,0.002483217088077201,-0.0063780376085486,0.0007541493872936998,-0.0014748173755388,-0.0015666833292354004,0.0
601336.XSHG,-0.010555573775879599,0.0111442761105839,0.0009673726441818999,-0.0023593691058409,0.0033925720660929986,-0.006982680384606499,-0.0041526703128157,-0.005091234409898202,0.0068020247069494,0.0032042921002038995,0.011584906722632399,0.0225234383884369,0.011169391022436899,-0.003118137028703801,0.1265566752340739,0.022899300978184798,-0.0060409953063159,0.020963912503931,-0.0072759590490844,-0.0019447935355935999,0.0036792196352272008,0.0112795709681419,0.008538168764418298,0.010795835272173999,-0.0026203642162403993,-0.0094437898660543,0.0019349952866925002,-0.0037898374852773,0.0
601318.XSHG,-0.011474917355407798,0.020803654317243098,-0.0019359668585751,-0.005903094012893798,0.007124346529167998,-0.012316568099900598,-0.005901431329151401,0.002529653946166898,0.015243391334781097,0.0035785770999535982,0.019742985933575596,0.0279516153194639,0.0211107415513544,0.00023124021754969935,0.0228993009781848,0.0898922066245658,-0.014317755059036995,0.025296210226612097,-0.0104706333732555,-0.0057134766635226,-0.002006022534906798,0.021132724597883196,0.018150328182228295,0.019146209270104398,-0.0097348013433734,-0.014161616796558599,0.0036448040612078996,-0.003579812412552202,0.0
600118.XSHG,0.007691147207531399,-0.018738240038101598,0.001531770114951999,0.004142594915549599,-0.0056736677092286,0.046227573391961096,-0.0009603173976887001,0.0018740493277101997,-0.0118902556790197,-0.0027807552641246,-0.017709261652835196,-0.0105208247549111,-0.019354156293700398,-0.0016933656586252998,-0.006040995306315899,-0.014317755059036999,0.08069894802115869,-0.009813643426401699,0.009474184391472299,0.004709927446904799,0.042236193492505895,-0.019017472605614896,-0.015827593191951598,-0.016687055886792396,0.007631133066659999,0.010906326537530098,-5.119047416269972e-05,0.0045547829249304,0.0
601628.XSHG,-0.0162156982599578,0.019433316735949405,0.003289692995651401,-0.007514346572391802,0.010642846106170098,-0.010162273383835699,0.0008729431745918993,-0.004630199855793101,0.015325758342953796,0.0015572339665311996,0.0189670312141616,0.0238561337487784,0.021391928076376302,0.002013516906436301,0.020963912503931,0.025296210226612097,-0.009813643426401699,0.05926243867624519,-0.0114154218137156,-0.007720542404475201,0.002095407750999801,0.0202580504703172,0.0160213765935536,0.016638124633213097,-0.0106674691329983,-0.0115951190747337,-0.0006342743431262011,-0.0077838189706031,0.0
600498.XSHG,0.0241163724765417,-0.0184634602088909,-0.002183841193051001,0.0020370368296187998,-0.0106727181227329,0.0098156871235284,-0.006815676854331599,0.009940905941569702,-0.014549088089871,-0.0036513158582125,-0.0180342393626717,-0.010664757361112002,-0.0203127261954286,-0.0009198502825705007,-0.0072759590490844,-0.0104706333732555,0.009474184391472299,-0.0114154218137156,0.1319153962648073,0.0045734646397996,0.00017450142403889913,-0.0192095659477848,-0.015990931767773803,-0.015163443374903699,0.007684337425929701,0.021879596192663497,0.0006831858434010008,0.019575908305922,0.0
600111.XSHG,0.0072556869580396,-0.015985579395545596,-0.0016347323847262002,0.0249717876353878,-0.0076835094591132,0.003962206867786599,0.013318118878069,0.003060172592766402,-0.0126230452224732,0.020213678523659,-0.015063026855776797,-0.0058129231391302,-0.0178014832906894,-0.004169114614811401,-0.0019447935355935992,-0.005713476663522598,0.004709927446904799,-0.0077205424044751985,0.004573464639799601,0.09557478314000682,0.0010956797046953997,-0.0166041652201402,-0.0140245676822254,-0.012652201134227398,0.0119183933937962,0.0027262759979703997,0.0019417106187280017,0.0032219109100738007,0.0
601989.XSHG,-0.008248923180832498,-0.002584603280265098,0.007251382355142499,0.0027318379485082984,0.0066040953079401,0.040172471167223694,0.0030509444269756995,-0.001946124271326099,0.005225912358724202,0.003410481624261,-0.002032285117440098,0.0017653094657387018,-0.001958640881375698,-0.00022672490686759933,0.0036792196352272008,-0.0020060225349067978,0.042236193492505895,0.002095407750999801,0.00017450142403889772,0.001095679704695399,0.1067184792523878,-0.0022671780536852974,-0.0018929969912858979,-0.0029106321010569976,0.0036342449558753992,0.00016960580374909736,0.0023660976955832,-0.002683993927303102,0.0
601288.XSHG,-0.026905491705065197,0.046780093868151795,0.003201020715952398,-0.014726660926614798,0.016947799102251998,-0.017836946085422196,0.003199830052785196,-0.0083187558004266,0.027795958272142894,-1.4332923614700926e-05,0.0453782118965426,0.0186968582169343,0.04990745461772329,0.005116567532474098,0.0112795709681419,0.0211327245978832,-0.0190174726056149,0.020258050470317198,-0.0192095659477848,-0.0166041652201402,-0.002267178053685299,0.061571527822150994,0.0410300234964264,0.040841112700253,-0.020677424458352495,-0.0192533987199009,-0.002616291308719101,-0.0126082835980762,0.0
600036.XSHG,-0.020976994947094,0.04014684602326779,0.0017528380817319958,-0.010927103616608203,0.014011682073409894,-0.0144067188393607,0.0009139865811528987,-0.002005442880027703,0.0232006687727277,-0.002234370831515701,0.03854759568193599,0.016346399866285895,0.042364893948992996,0.0051817899089342,0.008538168764418297,0.018150328182228295,-0.0158275931919516,0.016021376593553596,-0.0159909317677738,-0.014024567682225398,-0.0018929969912859033,0.0410300234964264,0.0676686912084486,0.0351060273102123,-0.0170216152603838,-0.016620605253121,-0.0012095157082599001,-0.0130103183306135,0.0
601939.XSHG,-0.018853787645759,0.0400770447901861,0.0010974263410106991,-0.012493141948016002,0.011219077325574901,-0.014902743804669799,-0.0004752552660383016,-0.0061207500398462004,0.020143537684415496,0.0004735387888276997,0.0389057706134182,0.0160707571355422,0.0419035134692319,0.0024832170880772003,0.010795835272173999,0.019146209270104398,-0.016687055886792396,0.0166381246332131,-0.0151634433749037,-0.012652201134227398,-0.0029106321010569994,0.040841112700253,0.0351060273102123,0.0654967325584622,-0.0154556281862363,-0.0160927346436653,-0.0015490784856170003,-0.009217316098016803,0.0
000792.XSHE,0.0109553325421491,-0.019665924345011698,-0.0014069960713437002,0.010775353937558498,-0.0096353120184852,0.0081590283474177,-0.001954713411875099,0.0011961421841107016,-0.015377979650072602,0.0042303755804656,-0.018740276018864695,-0.007774165614416998,-0.022460164449476294,-0.006378037608548599,-0.0026203642162403984,-0.009734801343373399,0.007631133066659999,-0.010667469132998299,0.007684337425929699,0.011918393393796202,0.003634244955875399,-0.020677424458352498,-0.017021615260383798,-0.0154556281862363,0.20748845461866722,0.0054402191866367,0.002731684601440501,0.0040198267737361,0.0
002465.XSHE,0.0237007710914047,-0.0187964191597775,-0.0005176353900109005,0.0001495369077153001,-0.009386839857234,0.010476752512447299,-0.004250495139643699,0.0084157422133877,-0.014648499948267502,-0.005535818925203899,-0.018345640965753696,-0.013229342290419699,-0.019709448827708198,0.0007541493872937005,-0.009443789866054299,-0.014161616796558599,0.0109063265375301,-0.0115951190747337,0.021879596192663497,0.0027262759979704,0.00016960580374910002,-0.0192533987199009,-0.016620605253121,-0.016092734643665296,0.0054402191866367,0.1199515781545328,-0.0016475896330220004,0.0183304944449291,0.0
002081.XSHE,0.000949237668640301,-0.0023576592307497017,-0.0008636356460076007,0.002649678585304201,-0.00042738173906620126,5.6135099727700236e-05,-0.004731248946106501,0.0038583308518555016,0.0014780376437434988,0.0017375140236742998,-0.0023079990865311015,0.0023010682203667998,-0.003334651012411202,-0.0014748173755388004,0.0019349952866924997,0.0036448040612079005,-5.1190474162699884e-05,-0.0006342743431262011,0.0006831858434010004,0.0019417106187280004,0.0023660976955831997,-0.0026162913087191017,-0.0012095157082599014,-0.0015490784856170019,0.002731684601440501,-0.001647589633022,0.10365090145995902,0.0017778224239940006,0.0
600522.XSHG,0.0206220511289055,-0.0119389806806567,-0.0036161390179895014,0.00030530545709030014,-0.009825586099448997,0.0048040997718344,-0.008895248515211498,0.0081545835103906,-0.010062388049304101,-0.0013651459934693004,-0.011355326103797702,-0.006142507574551901,-0.013714139425307203,-0.0015666833292354004,-0.003789837485277301,-0.0035798124125522015,0.0045547829249304,-0.0077838189706031,0.019575908305921996,0.0032219109100737994,-0.0026839939273030997,-0.012608283598076201,-0.0130103183306135,-0.009217316098016803,0.0040198267737361,0.018330494444929096,0.0017778224239939986,0.12436028726355229,0.0
cash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
